feature,signal,fold_id,model_role,model_name
cat__location_26061,4.711317401265662,1,stage1,logistic_enet
cat__location_26007,4.644917805689301,1,stage1,logistic_enet
cat__location_26095,4.602105667704693,1,stage1,logistic_enet
cat__location_26081,3.722509930061023,1,stage1,logistic_enet
cat__location_26115,2.6131767445843956,1,stage1,logistic_enet
cat__location_26083,2.425957587439715,1,stage1,logistic_enet
cat__location_26147,2.3736223894443738,1,stage1,logistic_enet
cat__location_26093,2.328697864700179,1,stage1,logistic_enet
cat__location_26153,2.204949926595089,1,stage1,logistic_enet
cat__location_26087,2.097715641753676,1,stage1,logistic_enet
cat__location_26119,2.0234016119110567,1,stage1,logistic_enet
cat__location_26079,1.9716876272519157,1,stage1,logistic_enet
cat__location_26141,1.7980245657191936,1,stage1,logistic_enet
cat__location_26097,1.7379468318033184,1,stage1,logistic_enet
cat__location_26033,1.7207071573461228,1,stage1,logistic_enet
cat__location_26151,1.6308738752778211,1,stage1,logistic_enet
cat__location_26065,1.5600170536689695,1,stage1,logistic_enet
cat__location_26049,1.5523599661248453,1,stage1,logistic_enet
cat__location_26047,1.3348548995125449,1,stage1,logistic_enet
cat__location_26041,1.2279151360005705,1,stage1,logistic_enet
