feature,signal,fold_id,model_role,model_name
num__tracked_roll_sum_6,15826.09375,1,stage1,xgb_classifier
num__out_nonzero_rate_6,10641.669921875,1,stage1,xgb_classifier
num__out_curr,8554.3193359375,1,stage1,xgb_classifier
num__tracked_roll_mean_6,8364.5693359375,1,stage1,xgb_classifier
num__tracked_lag_48,4117.7744140625,1,stage1,xgb_classifier
num__tracked_curr,1655.6934814453125,1,stage1,xgb_classifier
num__out_lag_24,1539.2080078125,1,stage1,xgb_classifier
num__out_lag_48,1194.070068359375,1,stage1,xgb_classifier
cat__location_26061,1165.010009765625,1,stage1,xgb_classifier
num__out_roll_mean_6,876.8224487304688,1,stage1,xgb_classifier
num__out_roll_max_6,835.5153198242188,1,stage1,xgb_classifier
num__tracked_lag_24,811.3297729492188,1,stage1,xgb_classifier
cat__location_26087,704.0513916015625,1,stage1,xgb_classifier
num__pwat_lag_24,675.3387451171875,1,stage1,xgb_classifier
cat__location_26059,656.51513671875,1,stage1,xgb_classifier
num__gh_4_lag_24,595.6136474609375,1,stage1,xgb_classifier
cat__location_26093,589.8743286132812,1,stage1,xgb_classifier
num__tracked_roll_max_6,578.7704467773438,1,stage1,xgb_classifier
num__gh_4_roll_mean_6,555.654541015625,1,stage1,xgb_classifier
cat__location_26115,528.6210327148438,1,stage1,xgb_classifier
