feature,abs_corr_with_outage,signed_corr_with_outage
gh_4,0.14168976933643557,0.14168976933643557
pwat,0.08751433724198214,0.08751433724198214
sh2,0.08315369894171624,0.08315369894171624
cape_1,0.07855056989635778,0.07855056989635778
mslma,0.07547503385213176,-0.07547503385213176
sdlwrf,0.0715275545688328,0.0715275545688328
d2m,0.06555868027917952,0.06555868027917952
lcc,0.05468068645665277,0.05468068645665277
tcc,0.05394944296768817,0.05394944296768817
pcdb,0.05376973243467799,0.05376973243467799
