feature,signal
num__tracked_roll_max_6,15023.86328125
num__tracked_curr,6611.6904296875
num__pwat_lag_48,3610.49365234375
cat__location_26161,3156.543212890625
num__out_curr,2654.056884765625
num__tracked_roll_sum_6,2641.192138671875
num__out_lag_48,2453.179443359375
num__vgtyp_lag_48,2231.548828125
num__sh2_roll_mean_6,1913.5625
num__d2m_curr,1706.310546875
num__vgtyp_roll_mean_6,1606.2166748046875
cat__location_26011,1555.169677734375
num__tracked_roll_mean_6,1434.8236083984375
num__pres_lag_48,1351.25390625
cat__location_26147,1258.885009765625
cat__location_26039,1254.3974609375
cat__location_26049,1216.10498046875
num__tracked_lag_48,1156.031005859375
num__pwat_lag_24,1033.4449462890625
cat__location_26081,1010.885986328125
