feature,signal,fold_id,model_role,model_name
cat__location_26039,2.309688709878481,1,stage2,elasticnet_regression
cat__location_26097,1.4569851362168853,1,stage2,elasticnet_regression
cat__location_26085,1.369174170256493,1,stage2,elasticnet_regression
cat__location_26033,1.3569533388348318,1,stage2,elasticnet_regression
num__lai_lag_24,0.9182573329637411,1,stage2,elasticnet_regression
cat__location_26109,0.889090650724504,1,stage2,elasticnet_regression
cat__location_26019,0.8421791089318147,1,stage2,elasticnet_regression
cat__location_26079,0.6965123919685907,1,stage2,elasticnet_regression
cat__location_26081,0.679585872675432,1,stage2,elasticnet_regression
cat__location_26119,0.6584481603136092,1,stage2,elasticnet_regression
num__lai_lag_48,0.652868095369338,1,stage2,elasticnet_regression
cat__location_26063,0.6430582880722272,1,stage2,elasticnet_regression
cat__location_26005,0.6091012570152476,1,stage2,elasticnet_regression
cat__location_26161,0.6015841895385909,1,stage2,elasticnet_regression
cat__location_26071,0.5855249683279001,1,stage2,elasticnet_regression
cat__location_26099,0.5816121376221867,1,stage2,elasticnet_regression
cat__location_26153,0.5767366971423522,1,stage2,elasticnet_regression
cat__location_26003,0.5653235863293546,1,stage2,elasticnet_regression
cat__location_26139,0.54631780454907,1,stage2,elasticnet_regression
cat__location_26013,0.5429022121291257,1,stage2,elasticnet_regression
cat__location_26033,1.5758497511736576,2,stage2,elasticnet_regression
cat__location_26039,1.5397555281179907,2,stage2,elasticnet_regression
cat__location_26085,1.4609828767758182,2,stage2,elasticnet_regression
cat__location_26011,1.398430141248855,2,stage2,elasticnet_regression
cat__location_26097,1.0063181074451377,2,stage2,elasticnet_regression
cat__location_26003,0.906512083928141,2,stage2,elasticnet_regression
cat__location_26063,0.8307852592546574,2,stage2,elasticnet_regression
cat__location_26001,0.7918946271794073,2,stage2,elasticnet_regression
cat__location_26041,0.723123297852082,2,stage2,elasticnet_regression
num__lai_curr,0.7202262819155686,2,stage2,elasticnet_regression
cat__location_26069,0.6692239967110524,2,stage2,elasticnet_regression
num__lai_lag_48,0.6423414885090468,2,stage2,elasticnet_regression
cat__location_26163,0.6408470418037158,2,stage2,elasticnet_regression
cat__location_26125,0.6204934737497738,2,stage2,elasticnet_regression
cat__location_26023,0.6020199533063734,2,stage2,elasticnet_regression
cat__location_26107,0.5988359098082496,2,stage2,elasticnet_regression
cat__location_26099,0.5984245100856193,2,stage2,elasticnet_regression
cat__location_26119,0.5917568350793336,2,stage2,elasticnet_regression
cat__location_26051,0.5866837206987972,2,stage2,elasticnet_regression
cat__location_26123,0.5565159520659155,2,stage2,elasticnet_regression
