feature,signal,fold_id,model_role,model_name
num__tracked_lag_24,9135.240234375,1,stage2,xgb_regressor
num__tracked_roll_mean_6,6840.744140625,1,stage2,xgb_regressor
num__tracked_lag_48,6607.83349609375,1,stage2,xgb_regressor
num__tracked_roll_max_6,4349.32373046875,1,stage2,xgb_regressor
num__tracked_curr,3045.29248046875,1,stage2,xgb_regressor
num__out_curr,3018.274658203125,1,stage2,xgb_regressor
num__tracked_roll_sum_6,2566.604248046875,1,stage2,xgb_regressor
num__out_roll_sum_6,1516.5186767578125,1,stage2,xgb_regressor
num__out_roll_mean_6,1471.9306640625,1,stage2,xgb_regressor
num__out_roll_max_6,1063.37841796875,1,stage2,xgb_regressor
num__out_lag_24,893.2613525390625,1,stage2,xgb_regressor
num__orog_curr,781.2457885742188,1,stage2,xgb_regressor
num__out_nonzero_rate_6,772.4713745117188,1,stage2,xgb_regressor
num__pt_lag_24,684.836669921875,1,stage2,xgb_regressor
num__SBT114_roll_mean_6,656.5309448242188,1,stage2,xgb_regressor
cat__location_26125,645.39794921875,1,stage2,xgb_regressor
cat__location_26039,641.3582153320312,1,stage2,xgb_regressor
cat__location_26161,587.2550048828125,1,stage2,xgb_regressor
cat__location_26081,585.9853515625,1,stage2,xgb_regressor
num__SBT124_roll_mean_6,581.0631103515625,1,stage2,xgb_regressor
num__tracked_roll_mean_6,18895.740234375,2,stage2,xgb_regressor
num__tracked_roll_sum_6,8510.75390625,2,stage2,xgb_regressor
num__tracked_roll_max_6,7773.7412109375,2,stage2,xgb_regressor
num__out_curr,4460.70361328125,2,stage2,xgb_regressor
num__tracked_lag_24,2496.748779296875,2,stage2,xgb_regressor
num__out_roll_mean_6,2172.629638671875,2,stage2,xgb_regressor
num__out_roll_sum_6,2018.7586669921875,2,stage2,xgb_regressor
num__origin_dow,1583.2701416015625,2,stage2,xgb_regressor
num__pwat_lag_48,1512.9862060546875,2,stage2,xgb_regressor
cat__location_26161,1425.093994140625,2,stage2,xgb_regressor
num__pwat_roll_mean_6,1105.6019287109375,2,stage2,xgb_regressor
num__out_roll_max_6,1080.4478759765625,2,stage2,xgb_regressor
num__tracked_lag_48,1030.7860107421875,2,stage2,xgb_regressor
num__r_roll_std_6,1030.22314453125,2,stage2,xgb_regressor
cat__location_26125,958.6098022460938,2,stage2,xgb_regressor
num__pwat_curr,952.387939453125,2,stage2,xgb_regressor
num__gh_3_roll_mean_6,861.2987670898438,2,stage2,xgb_regressor
num__gh_3_roll_std_6,829.5489501953125,2,stage2,xgb_regressor
num__pres_lag_48,748.42041015625,2,stage2,xgb_regressor
num__tracked_curr,721.859619140625,2,stage2,xgb_regressor
