feature,signal,fold_id,model_role,model_name
num__out_nonzero_rate_6,45230.640625,1,stage1,xgb_classifier
num__out_curr,9077.6513671875,1,stage1,xgb_classifier
num__tracked_curr,3772.6728515625,1,stage1,xgb_classifier
num__out_roll_max_6,3021.984375,1,stage1,xgb_classifier
num__out_lag_24,2829.804443359375,1,stage1,xgb_classifier
num__out_lag_48,2599.771240234375,1,stage1,xgb_classifier
num__tracked_roll_max_6,2259.608154296875,1,stage1,xgb_classifier
num__tracked_lag_48,2125.609375,1,stage1,xgb_classifier
num__tracked_lag_24,2028.269287109375,1,stage1,xgb_classifier
num__r_lag_48,1219.6287841796875,1,stage1,xgb_classifier
num__out_roll_mean_6,1149.1005859375,1,stage1,xgb_classifier
num__out_roll_sum_6,974.5607299804688,1,stage1,xgb_classifier
num__tracked_roll_mean_6,958.9364013671875,1,stage1,xgb_classifier
num__tracked_roll_sum_6,923.0090942382812,1,stage1,xgb_classifier
num__lai_lag_24,910.458984375,1,stage1,xgb_classifier
num__gh_4_roll_mean_6,909.2815551757812,1,stage1,xgb_classifier
num__gh_4_curr,803.175048828125,1,stage1,xgb_classifier
num__target_hour,776.1513061523438,1,stage1,xgb_classifier
cat__location_26087,763.447265625,1,stage1,xgb_classifier
num__target_hour_sin,726.87353515625,1,stage1,xgb_classifier
num__tracked_roll_sum_6,13768.3525390625,2,stage1,xgb_classifier
num__out_nonzero_rate_6,11352.974609375,2,stage1,xgb_classifier
num__tracked_lag_48,8959.1533203125,2,stage1,xgb_classifier
num__tracked_roll_mean_6,7183.177734375,2,stage1,xgb_classifier
num__out_curr,4396.7998046875,2,stage1,xgb_classifier
num__tracked_lag_24,4024.480224609375,2,stage1,xgb_classifier
num__gh_4_roll_mean_6,2094.483642578125,2,stage1,xgb_classifier
num__tracked_curr,1628.132568359375,2,stage1,xgb_classifier
num__lai_curr,1476.6651611328125,2,stage1,xgb_classifier
cat__location_26061,1453.4083251953125,2,stage1,xgb_classifier
num__out_lag_24,1394.14111328125,2,stage1,xgb_classifier
cat__location_26087,1297.67236328125,2,stage1,xgb_classifier
num__lai_lag_24,1104.9462890625,2,stage1,xgb_classifier
num__out_lag_48,1005.1008911132812,2,stage1,xgb_classifier
num__out_roll_std_6,960.2857666015625,2,stage1,xgb_classifier
num__vgtyp_roll_mean_6,957.8072509765625,2,stage1,xgb_classifier
num__d2m_lag_48,851.15283203125,2,stage1,xgb_classifier
num__unknown_2_curr,819.9391479492188,2,stage1,xgb_classifier
num__pwat_lag_24,816.061767578125,2,stage1,xgb_classifier
num__vgtyp_curr,800.6740112304688,2,stage1,xgb_classifier
