feature,signal,fold_id,model_role,model_name
num__out_nonzero_rate_6,17439.5859375,1,stage1,xgb_classifier
num__out_curr,3408.893310546875,1,stage1,xgb_classifier
num__tracked_lag_48,1351.166259765625,1,stage1,xgb_classifier
num__out_lag_48,1053.6722412109375,1,stage1,xgb_classifier
num__tracked_curr,1008.749755859375,1,stage1,xgb_classifier
num__out_lag_24,996.0415649414062,1,stage1,xgb_classifier
num__tracked_roll_mean_6,743.0425415039062,1,stage1,xgb_classifier
num__tracked_lag_24,373.702392578125,1,stage1,xgb_classifier
num__tracked_roll_max_6,365.00347900390625,1,stage1,xgb_classifier
num__out_roll_sum_6,353.5086669921875,1,stage1,xgb_classifier
num__out_roll_mean_6,347.3165588378906,1,stage1,xgb_classifier
num__lai_roll_mean_6,341.7159118652344,1,stage1,xgb_classifier
num__origin_month,339.0323181152344,1,stage1,xgb_classifier
cat__location_26121,333.2759094238281,1,stage1,xgb_classifier
num__tracked_roll_sum_6,330.8724060058594,1,stage1,xgb_classifier
num__lai_lag_24,302.17340087890625,1,stage1,xgb_classifier
num__suswrf_lag_48,282.8896179199219,1,stage1,xgb_classifier
num__d2m_curr,278.8323059082031,1,stage1,xgb_classifier
num__gh_4_roll_mean_6,263.4922790527344,1,stage1,xgb_classifier
num__SBT114_curr,260.0046691894531,1,stage1,xgb_classifier
num__out_nonzero_rate_6,22004.451171875,2,stage1,xgb_classifier
num__out_curr,8596.3408203125,2,stage1,xgb_classifier
num__tracked_curr,3120.18798828125,2,stage1,xgb_classifier
num__tracked_roll_max_6,1923.4443359375,2,stage1,xgb_classifier
num__gh_4_roll_mean_6,1739.3656005859375,2,stage1,xgb_classifier
num__tracked_lag_48,1416.7158203125,2,stage1,xgb_classifier
num__out_roll_sum_6,1348.133056640625,2,stage1,xgb_classifier
num__tracked_roll_mean_6,1248.310302734375,2,stage1,xgb_classifier
cat__location_26061,1226.6009521484375,2,stage1,xgb_classifier
num__out_lag_24,1215.7471923828125,2,stage1,xgb_classifier
num__tracked_lag_24,1148.264892578125,2,stage1,xgb_classifier
num__out_roll_mean_6,1120.0787353515625,2,stage1,xgb_classifier
num__lai_curr,895.1471557617188,2,stage1,xgb_classifier
num__out_lag_48,892.8101806640625,2,stage1,xgb_classifier
num__tracked_roll_sum_6,863.2337036132812,2,stage1,xgb_classifier
num__lai_lag_48,784.2637939453125,2,stage1,xgb_classifier
cat__location_26087,624.5472412109375,2,stage1,xgb_classifier
num__vucsh_curr,551.637939453125,2,stage1,xgb_classifier
num__vgtyp_lag_24,530.8936767578125,2,stage1,xgb_classifier
num__target_hour,521.8013305664062,2,stage1,xgb_classifier
