feature,signal
num__tracked_roll_mean_6,7106.32080078125
num__tracked_roll_sum_6,3878.347412109375
num__out_curr,3627.566650390625
num__tracked_lag_24,2233.109130859375
cat__location_26163,2114.45703125
num__out_roll_sum_6,1989.0953369140625
cat__location_26125,1326.0128173828125
num__out_roll_mean_6,1176.0601806640625
num__pwat_lag_48,892.41552734375
num__origin_dow,855.9873657226562
num__pwat_curr,802.1112060546875
num__tracked_roll_max_6,788.1474609375
num__unknown_roll_mean_6,770.4595336914062
num__out_roll_max_6,708.7669067382812
num__sp_roll_std_6,635.6216430664062
num__out_lag_48,633.12158203125
num__tracked_lag_48,630.9685668945312
num__pwat_roll_mean_6,628.9579467773438
num__gh_3_roll_std_6,579.2108764648438
cat__location_26081,531.6177978515625
