feature,signal,fold_id,model_role,model_name
num__tracked_lag_24,9003.994140625,1,stage2,xgb_regressor
num__tracked_lag_48,6110.34716796875,1,stage2,xgb_regressor
num__tracked_curr,3907.427001953125,1,stage2,xgb_regressor
num__out_curr,2924.92041015625,1,stage2,xgb_regressor
num__tracked_roll_mean_6,2886.11279296875,1,stage2,xgb_regressor
num__tracked_roll_sum_6,2178.567626953125,1,stage2,xgb_regressor
num__out_roll_mean_6,1558.770263671875,1,stage2,xgb_regressor
num__out_roll_sum_6,1268.1490478515625,1,stage2,xgb_regressor
num__out_roll_max_6,1112.7071533203125,1,stage2,xgb_regressor
num__tracked_roll_max_6,1098.624755859375,1,stage2,xgb_regressor
num__out_lag_24,888.3128051757812,1,stage2,xgb_regressor
num__orog_roll_mean_6,807.4677734375,1,stage2,xgb_regressor
num__out_nonzero_rate_6,717.7440185546875,1,stage2,xgb_regressor
num__gh_4_roll_mean_6,684.05908203125,1,stage2,xgb_regressor
num__target_month,682.037841796875,1,stage2,xgb_regressor
cat__location_26125,657.9267578125,1,stage2,xgb_regressor
cat__location_26039,629.8641967773438,1,stage2,xgb_regressor
cat__location_26081,587.853515625,1,stage2,xgb_regressor
num__orog_curr,570.093505859375,1,stage2,xgb_regressor
num__sdlwrf_roll_mean_6,536.5978393554688,1,stage2,xgb_regressor
num__tracked_roll_mean_6,13002.01171875,2,stage2,xgb_regressor
num__tracked_roll_sum_6,10089.2119140625,2,stage2,xgb_regressor
num__tracked_roll_max_6,7888.32275390625,2,stage2,xgb_regressor
num__out_curr,4440.82861328125,2,stage2,xgb_regressor
num__tracked_lag_24,3313.435791015625,2,stage2,xgb_regressor
num__out_roll_sum_6,2281.874267578125,2,stage2,xgb_regressor
num__origin_dow,1913.0592041015625,2,stage2,xgb_regressor
num__pwat_lag_48,1651.5150146484375,2,stage2,xgb_regressor
cat__location_26161,1619.0340576171875,2,stage2,xgb_regressor
num__out_roll_mean_6,1293.164794921875,2,stage2,xgb_regressor
num__out_roll_max_6,1287.1690673828125,2,stage2,xgb_regressor
num__pwat_roll_mean_6,1284.12646484375,2,stage2,xgb_regressor
num__gh_3_roll_std_6,1281.6820068359375,2,stage2,xgb_regressor
num__pwat_curr,1229.3121337890625,2,stage2,xgb_regressor
num__unknown_roll_mean_6,1023.9212646484375,2,stage2,xgb_regressor
num__gh_4_roll_mean_6,928.5977783203125,2,stage2,xgb_regressor
num__gh_3_roll_mean_6,914.3234252929688,2,stage2,xgb_regressor
num__out_lag_48,877.0595092773438,2,stage2,xgb_regressor
num__tracked_lag_48,855.8616333007812,2,stage2,xgb_regressor
num__v10_curr,844.4693603515625,2,stage2,xgb_regressor
