feature,signal,fold_id,model_role,model_name
num__out_nonzero_rate_6,34494.859375,1,stage1,xgb_classifier
num__out_curr,6485.88720703125,1,stage1,xgb_classifier
num__tracked_curr,2506.4619140625,1,stage1,xgb_classifier
num__tracked_lag_48,1676.3275146484375,1,stage1,xgb_classifier
num__out_lag_48,1525.966552734375,1,stage1,xgb_classifier
num__tracked_roll_mean_6,1492.1571044921875,1,stage1,xgb_classifier
num__out_lag_24,1274.424072265625,1,stage1,xgb_classifier
num__lai_curr,675.0152587890625,1,stage1,xgb_classifier
num__origin_month,616.678466796875,1,stage1,xgb_classifier
num__tracked_roll_sum_6,600.8529052734375,1,stage1,xgb_classifier
cat__location_26139,600.6953125,1,stage1,xgb_classifier
num__out_roll_max_6,597.3297729492188,1,stage1,xgb_classifier
num__SBT114_lag_24,593.95361328125,1,stage1,xgb_classifier
num__target_hour_sin,561.8366088867188,1,stage1,xgb_classifier
num__tracked_lag_24,544.740478515625,1,stage1,xgb_classifier
num__out_roll_sum_6,532.2825317382812,1,stage1,xgb_classifier
num__target_hour,482.7341613769531,1,stage1,xgb_classifier
num__sp_lag_24,468.97100830078125,1,stage1,xgb_classifier
cat__location_26061,466.5470275878906,1,stage1,xgb_classifier
num__lai_roll_mean_6,464.2176513671875,1,stage1,xgb_classifier
num__out_nonzero_rate_6,23332.7734375,2,stage1,xgb_classifier
num__out_curr,9169.466796875,2,stage1,xgb_classifier
num__tracked_curr,3593.3955078125,2,stage1,xgb_classifier
num__tracked_roll_max_6,1919.627197265625,2,stage1,xgb_classifier
num__tracked_roll_mean_6,1727.0333251953125,2,stage1,xgb_classifier
num__tracked_lag_48,1632.8359375,2,stage1,xgb_classifier
num__out_lag_24,1330.71826171875,2,stage1,xgb_classifier
cat__location_26061,1249.2103271484375,2,stage1,xgb_classifier
num__tracked_roll_sum_6,1027.62255859375,2,stage1,xgb_classifier
num__out_roll_sum_6,996.7365112304688,2,stage1,xgb_classifier
num__tracked_lag_24,906.75048828125,2,stage1,xgb_classifier
num__lai_roll_mean_6,872.24365234375,2,stage1,xgb_classifier
num__lai_curr,854.471923828125,2,stage1,xgb_classifier
num__out_lag_48,848.1768188476562,2,stage1,xgb_classifier
num__lai_lag_48,748.6181640625,2,stage1,xgb_classifier
num__out_roll_mean_6,589.5235595703125,2,stage1,xgb_classifier
num__target_hour,546.2125854492188,2,stage1,xgb_classifier
num__gh_4_roll_std_6,523.2136840820312,2,stage1,xgb_classifier
cat__location_26087,506.58172607421875,2,stage1,xgb_classifier
num__target_dow_cos,490.9452209472656,2,stage1,xgb_classifier
