feature,signal,fold_id,model_role,model_name
num__out_nonzero_rate_6,49522.6640625,1,stage1,xgb_classifier
num__out_curr,9278.0361328125,1,stage1,xgb_classifier
num__tracked_curr,4058.8671875,1,stage1,xgb_classifier
num__out_lag_24,2972.230712890625,1,stage1,xgb_classifier
num__tracked_lag_24,2722.74365234375,1,stage1,xgb_classifier
num__out_lag_48,2464.7158203125,1,stage1,xgb_classifier
num__tracked_roll_max_6,2128.1748046875,1,stage1,xgb_classifier
num__tracked_lag_48,2106.035888671875,1,stage1,xgb_classifier
num__out_roll_max_6,1577.561767578125,1,stage1,xgb_classifier
num__out_roll_mean_6,1378.581787109375,1,stage1,xgb_classifier
num__lai_roll_mean_6,1185.08447265625,1,stage1,xgb_classifier
num__out_roll_sum_6,983.0477905273438,1,stage1,xgb_classifier
num__tracked_roll_sum_6,962.854248046875,1,stage1,xgb_classifier
num__target_hour_sin,830.7261352539062,1,stage1,xgb_classifier
cat__location_26087,802.5521850585938,1,stage1,xgb_classifier
num__tracked_roll_mean_6,795.2619018554688,1,stage1,xgb_classifier
num__target_hour,792.128662109375,1,stage1,xgb_classifier
num__origin_month,746.776123046875,1,stage1,xgb_classifier
num__lai_lag_48,741.2054443359375,1,stage1,xgb_classifier
num__d2m_roll_mean_6,701.551513671875,1,stage1,xgb_classifier
num__tracked_roll_sum_6,13302.4560546875,2,stage1,xgb_classifier
num__out_nonzero_rate_6,12944.5546875,2,stage1,xgb_classifier
num__tracked_lag_48,10723.2802734375,2,stage1,xgb_classifier
num__tracked_roll_mean_6,8314.60546875,2,stage1,xgb_classifier
num__out_curr,4911.92822265625,2,stage1,xgb_classifier
num__tracked_lag_24,4608.00439453125,2,stage1,xgb_classifier
num__gh_4_roll_std_6,2766.797607421875,2,stage1,xgb_classifier
num__tracked_curr,2476.23046875,2,stage1,xgb_classifier
num__vgtyp_roll_mean_6,2266.71630859375,2,stage1,xgb_classifier
num__lai_roll_mean_6,2136.67138671875,2,stage1,xgb_classifier
cat__location_26061,1874.9986572265625,2,stage1,xgb_classifier
num__out_lag_24,1677.955078125,2,stage1,xgb_classifier
num__lai_curr,1495.1258544921875,2,stage1,xgb_classifier
cat__location_26087,1425.06103515625,2,stage1,xgb_classifier
num__layth_lag_24,1294.0853271484375,2,stage1,xgb_classifier
num__orog_lag_24,1072.7208251953125,2,stage1,xgb_classifier
num__pwat_lag_24,1063.423828125,2,stage1,xgb_classifier
num__lai_lag_24,988.593994140625,2,stage1,xgb_classifier
num__out_lag_48,973.8690185546875,2,stage1,xgb_classifier
num__pwat_lag_48,909.8079223632812,2,stage1,xgb_classifier
