feature,abs_corr_with_outage,signed_corr_with_outage
gh_4,0.12988183058695435,0.12988183058695435
cape_1,0.09815633375542254,0.09815633375542254
pwat,0.08847998246259448,0.08847998246259448
sh2,0.08320904278471732,0.08320904278471732
mslma,0.07576115966965206,-0.07576115966965206
sdlwrf,0.07073802054698222,0.07073802054698222
mcc,0.06615242206590935,0.06615242206590935
d2m,0.06497153271765269,0.06497153271765269
cape,0.0641441545585358,0.0641441545585358
lcc,0.05535354623152575,0.05535354623152575
tcc,0.05394944296768817,0.05394944296768817
pcdb,0.05376973243467799,0.05376973243467799
gh,0.0528300890982271,-0.0528300890982271
lftx,0.052618358762201646,-0.052618358762201646
lftx4,0.05104975867680662,-0.05104975867680662
r,0.04911318650684254,0.04911318650684254
r_1,0.04846299370628425,0.04846299370628425
r2,0.046196484944856994,0.046196484944856994
gh_5,0.04395868894176187,-0.04395868894176187
gust,0.0431425574017777,0.0431425574017777
lai,0.04149388081554954,-0.04149388081554954
unknown,0.04143057870274341,0.04143057870274341
ustm,0.04109508229815478,0.04109508229815478
vis,0.04017458922933047,-0.04017458922933047
unknown_5,0.03880230036253885,-0.03880230036253885
fricv,0.03726526167411439,0.03726526167411439
SBT114,0.03696571091309065,-0.03696571091309065
pres,0.03614499997459873,0.03614499997459873
gh_2,0.03574677056994711,0.03574677056994711
SBT124,0.03438504184476062,-0.03438504184476062
gh_3,0.033279992526922535,0.033279992526922535
tcc_1,0.03308610561966854,0.03308610561966854
sp,0.0322231627483691,-0.0322231627483691
vucsh,0.031524531927619566,0.031524531927619566
hcc,0.030550282713783596,0.030550282713783596
vbdsf,0.029338216689552266,-0.029338216689552266
gh_1,0.027564000491741653,0.027564000491741653
plpl,0.02624747958773702,0.02624747958773702
max_10si,0.02611634007975504,0.02611634007975504
vstm,0.02611411480553477,0.02611411480553477
unknown_2,0.025652995656785256,-0.025652995656785256
orog,0.025232295305682478,-0.025232295305682478
pt,0.025212020363832424,0.025212020363832424
lsm,0.02497058216774841,0.02497058216774841
u,0.024162405851044778,0.024162405851044778
sdswrf,0.02355783908773147,-0.02355783908773147
mstav,0.022768079019639908,0.022768079019639908
vgtyp,0.022277957599905154,0.022277957599905154
t2m,0.021390241129385618,0.021390241129385618
suswrf,0.021378570651455677,-0.021378570651455677
