feature,signal
num__tracked_lag_24,8572.4716796875
cat__location_26039,4521.88525390625
num__tracked_curr,2759.05615234375
num__tracked_lag_48,2328.187744140625
cat__location_26161,1619.3638916015625
num__out_roll_max_6,1269.0
cat__location_26059,1128.30029296875
cat__location_26103,1113.015380859375
num__out_curr,899.0241088867188
num__tracked_roll_max_6,886.6096801757812
cat__location_26085,865.4525146484375
cat__location_26121,751.298828125
cat__location_26041,745.6995849609375
cat__location_26081,714.7057495117188
cat__location_26129,710.1688232421875
num__tracked_roll_mean_6,677.9815673828125
cat__location_26057,673.0103759765625
cat__location_26067,664.9342041015625
cat__location_26027,646.7528076171875
cat__location_26123,605.8068237304688
