feature,signal,fold_id,model_role,model_name
cat__location_26061,7.16206770669379,1,stage1,logistic_enet
cat__location_26115,5.763957710973906,1,stage1,logistic_enet
cat__location_26093,5.413652729363592,1,stage1,logistic_enet
cat__location_26081,4.362922823655165,1,stage1,logistic_enet
cat__location_26153,4.333579357029441,1,stage1,logistic_enet
cat__location_26007,4.312041197236822,1,stage1,logistic_enet
cat__location_26095,4.197495972918026,1,stage1,logistic_enet
cat__location_26141,3.8429088521877994,1,stage1,logistic_enet
cat__location_26161,3.5226086311018108,1,stage1,logistic_enet
num__tracked_lag_24,3.3920554426847707,1,stage1,logistic_enet
cat__location_26147,2.8092296965450614,1,stage1,logistic_enet
cat__location_26103,2.236806812233637,1,stage1,logistic_enet
cat__location_26119,2.109132675986121,1,stage1,logistic_enet
cat__location_26033,2.041168648647755,1,stage1,logistic_enet
cat__location_26049,1.9928681967151893,1,stage1,logistic_enet
cat__location_26083,1.9541855279190998,1,stage1,logistic_enet
cat__location_26063,1.5587016023143383,1,stage1,logistic_enet
cat__location_26079,1.544798399963145,1,stage1,logistic_enet
cat__location_26065,1.5301677423961235,1,stage1,logistic_enet
cat__location_26087,1.500454695893047,1,stage1,logistic_enet
