feature,signal,fold_id,model_role,model_name
num__out_nonzero_rate_6,15772.3427734375,1,stage1,xgb_classifier
num__out_curr,9130.720703125,1,stage1,xgb_classifier
num__tracked_lag_48,1935.2069091796875,1,stage1,xgb_classifier
num__out_lag_24,1310.1424560546875,1,stage1,xgb_classifier
num__tracked_curr,1301.5523681640625,1,stage1,xgb_classifier
num__out_lag_48,1192.684814453125,1,stage1,xgb_classifier
num__out_roll_max_6,954.6943969726562,1,stage1,xgb_classifier
cat__location_26061,814.2066650390625,1,stage1,xgb_classifier
num__tracked_roll_mean_6,694.7830200195312,1,stage1,xgb_classifier
cat__location_26151,636.404541015625,1,stage1,xgb_classifier
cat__location_26103,608.60205078125,1,stage1,xgb_classifier
cat__location_26121,480.7265625,1,stage1,xgb_classifier
cat__location_26021,465.87109375,1,stage1,xgb_classifier
num__gh_4_lag_24,461.5744934082031,1,stage1,xgb_classifier
cat__location_26075,442.7350158691406,1,stage1,xgb_classifier
num__tracked_lag_24,438.4174499511719,1,stage1,xgb_classifier
cat__location_26059,437.83837890625,1,stage1,xgb_classifier
cat__location_26087,398.1189880371094,1,stage1,xgb_classifier
cat__location_26093,384.1382141113281,1,stage1,xgb_classifier
cat__location_26035,369.6619567871094,1,stage1,xgb_classifier
