feature,signal,fold_id,model_role,model_name
cat__location_26061,8.152159818242158,1,stage1,logistic_enet
cat__location_26115,6.64945475145193,1,stage1,logistic_enet
cat__location_26093,6.217886215163173,1,stage1,logistic_enet
cat__location_26153,4.9571394225340555,1,stage1,logistic_enet
cat__location_26007,4.908158686898978,1,stage1,logistic_enet
cat__location_26081,4.86717909918835,1,stage1,logistic_enet
cat__location_26095,4.83137193592263,1,stage1,logistic_enet
cat__location_26141,4.562046169363141,1,stage1,logistic_enet
cat__location_26161,4.07699303112068,1,stage1,logistic_enet
cat__location_26147,3.017394429516901,1,stage1,logistic_enet
cat__location_26103,2.4921441619694074,1,stage1,logistic_enet
num__tracked_lag_24,2.448481486389872,1,stage1,logistic_enet
cat__location_26049,2.3100927616439435,1,stage1,logistic_enet
cat__location_26083,2.1426524726465765,1,stage1,logistic_enet
cat__location_26119,2.1333958079116497,1,stage1,logistic_enet
cat__location_26079,2.0824189912454085,1,stage1,logistic_enet
cat__location_26033,2.034440907722503,1,stage1,logistic_enet
cat__location_26065,1.780885552628113,1,stage1,logistic_enet
cat__location_26063,1.6329021774986938,1,stage1,logistic_enet
cat__location_26087,1.5596537890712419,1,stage1,logistic_enet
