feature,signal,fold_id,model_role,model_name
cat__location_26039,4.8994803604242305,1,stage2,elasticnet_regression
cat__location_26085,2.2001413879455662,1,stage2,elasticnet_regression
cat__location_26097,1.4600246742357803,1,stage2,elasticnet_regression
cat__location_26047,1.0684083970295413,1,stage2,elasticnet_regression
cat__location_26041,1.0210695470212037,1,stage2,elasticnet_regression
cat__location_26011,0.9629685779845559,1,stage2,elasticnet_regression
cat__location_26109,0.9559428991374921,1,stage2,elasticnet_regression
cat__location_26003,0.9199831039803453,1,stage2,elasticnet_regression
cat__location_26113,0.8678223423929531,1,stage2,elasticnet_regression
cat__location_26107,0.8649310571542158,1,stage2,elasticnet_regression
cat__location_26035,0.8261117628668638,1,stage2,elasticnet_regression
cat__location_26027,0.8256236583355274,1,stage2,elasticnet_regression
cat__location_26103,0.8182088669115848,1,stage2,elasticnet_regression
cat__location_26019,0.7909304785714699,1,stage2,elasticnet_regression
cat__location_26079,0.7766624559208192,1,stage2,elasticnet_regression
cat__location_26157,0.763394635729941,1,stage2,elasticnet_regression
cat__location_26147,0.7505155020774408,1,stage2,elasticnet_regression
cat__location_26151,0.7289583993988469,1,stage2,elasticnet_regression
cat__location_26063,0.7249832178092084,1,stage2,elasticnet_regression
cat__location_26005,0.6563940895079399,1,stage2,elasticnet_regression
