feature,abs_corr_with_outage,signed_corr_with_outage
gh_4,0.12988183058695435,0.12988183058695435
cape_1,0.09815633375542254,0.09815633375542254
pwat,0.08847998246259448,0.08847998246259448
sh2,0.08320904278471732,0.08320904278471732
mslma,0.07576115966965206,-0.07576115966965206
sdlwrf,0.07073802054698222,0.07073802054698222
mcc,0.06615242206590935,0.06615242206590935
d2m,0.06497153271765269,0.06497153271765269
cape,0.0641441545585358,0.0641441545585358
lcc,0.05535354623152575,0.05535354623152575
