feature,signal
num__out_curr,18708.828125
num__tracked_curr,15371.65625
num__tracked_roll_mean_6,15126.8154296875
num__tracked_lag_48,8779.26171875
num__out_roll_mean_6,7898.140625
num__out_roll_sum_6,6834.90478515625
num__tracked_lag_24,5626.18408203125
cat__location_26097,2641.01513671875
num__pwat_curr,2319.60986328125
num__gh_4_curr,2295.603515625
cat__location_26063,2076.11279296875
num__out_nonzero_rate_6,2039.15283203125
num__out_lag_24,1883.7513427734375
num__mcc_curr,1872.9703369140625
num__out_roll_max_6,1804.8468017578125
num__out_lag_48,1759.697509765625
num__horizon_step,1741.8892822265625
num__tracked_roll_max_6,1602.883056640625
cat__location_26075,1527.651123046875
cat__location_26081,1369.829345703125
