feature,signal,fold_id,model_role,model_name
num__tracked_curr,32467.46484375,1,stage2,xgb_regressor
num__out_curr,23539.171875,1,stage2,xgb_regressor
num__tracked_roll_mean_6,19668.0,1,stage2,xgb_regressor
num__tracked_lag_48,13034.8779296875,1,stage2,xgb_regressor
num__out_roll_sum_6,12277.6748046875,1,stage2,xgb_regressor
num__out_roll_mean_6,10858.6396484375,1,stage2,xgb_regressor
num__tracked_lag_24,6620.7568359375,1,stage2,xgb_regressor
num__sh2_lag_48,4198.06689453125,1,stage2,xgb_regressor
num__out_nonzero_rate_6,4005.88671875,1,stage2,xgb_regressor
cat__location_26097,3554.915283203125,1,stage2,xgb_regressor
num__pwat_curr,3513.53564453125,1,stage2,xgb_regressor
num__mcc_curr,2954.900634765625,1,stage2,xgb_regressor
num__out_roll_max_6,2864.4921875,1,stage2,xgb_regressor
num__pwat_lag_48,2790.64501953125,1,stage2,xgb_regressor
num__tracked_roll_max_6,2725.658447265625,1,stage2,xgb_regressor
num__horizon_step,2596.500244140625,1,stage2,xgb_regressor
cat__location_26063,2446.953125,1,stage2,xgb_regressor
num__gh_4_curr,2375.782958984375,1,stage2,xgb_regressor
cat__location_26093,2374.26416015625,1,stage2,xgb_regressor
num__out_lag_24,2275.13671875,1,stage2,xgb_regressor
