feature,signal,fold_id,model_role,model_name
cat__location_26097,2.4725579812989698,1,stage2,elasticnet_regression
cat__location_26003,0.8848933748614474,1,stage2,elasticnet_regression
cat__location_26033,0.7739700521568524,1,stage2,elasticnet_regression
cat__location_26109,0.6905023831640501,1,stage2,elasticnet_regression
cat__location_26039,0.661652662117084,1,stage2,elasticnet_regression
cat__location_26047,0.6462758366661958,1,stage2,elasticnet_regression
cat__location_26071,0.6336926833087146,1,stage2,elasticnet_regression
cat__location_26063,0.6127769185468223,1,stage2,elasticnet_regression
cat__location_26037,0.6079575876631442,1,stage2,elasticnet_regression
cat__location_26099,0.6010884740053386,1,stage2,elasticnet_regression
cat__location_26107,0.5838143918049828,1,stage2,elasticnet_regression
cat__location_26043,0.5700713740125104,1,stage2,elasticnet_regression
cat__location_26053,0.566510323977052,1,stage2,elasticnet_regression
cat__location_26119,0.5657258164092147,1,stage2,elasticnet_regression
cat__location_26085,0.5526217595842426,1,stage2,elasticnet_regression
cat__location_26125,0.5179398750531486,1,stage2,elasticnet_regression
cat__location_26041,0.4870976280070001,1,stage2,elasticnet_regression
cat__location_26141,0.48016421995818515,1,stage2,elasticnet_regression
cat__location_26009,0.4750119801695758,1,stage2,elasticnet_regression
cat__location_26157,0.4603102151005441,1,stage2,elasticnet_regression
