feature,signal,fold_id,model_role,model_name
cat__location_26097,2.4372566875594264,1,stage2,elasticnet_regression
cat__location_26003,0.8318125878031295,1,stage2,elasticnet_regression
cat__location_26047,0.7849759954970345,1,stage2,elasticnet_regression
cat__location_26039,0.7536128725648042,1,stage2,elasticnet_regression
cat__location_26033,0.7436957045483511,1,stage2,elasticnet_regression
cat__location_26109,0.7422926588704957,1,stage2,elasticnet_regression
cat__location_26043,0.628240499871402,1,stage2,elasticnet_regression
cat__location_26071,0.6162635567022754,1,stage2,elasticnet_regression
cat__location_26099,0.6100484742960166,1,stage2,elasticnet_regression
cat__location_26063,0.6050150598107664,1,stage2,elasticnet_regression
cat__location_26085,0.6027900694993295,1,stage2,elasticnet_regression
cat__location_26107,0.601339835222886,1,stage2,elasticnet_regression
cat__location_26037,0.5866157867448338,1,stage2,elasticnet_regression
cat__location_26119,0.5367538071627835,1,stage2,elasticnet_regression
cat__location_26141,0.524058962963101,1,stage2,elasticnet_regression
cat__location_26041,0.5152884761048342,1,stage2,elasticnet_regression
cat__location_26125,0.5114841025807187,1,stage2,elasticnet_regression
cat__location_26053,0.4905607577035651,1,stage2,elasticnet_regression
cat__location_26009,0.46206663228457406,1,stage2,elasticnet_regression
cat__location_26029,0.4508857946853297,1,stage2,elasticnet_regression
