feature,signal,fold_id,model_role,model_name
num__tracked_roll_sum_6,268269.53125,1,stage2,xgb_regressor
num__tracked_curr,86550.7890625,1,stage2,xgb_regressor
num__tracked_roll_mean_6,73139.0234375,1,stage2,xgb_regressor
num__tracked_lag_48,65107.05078125,1,stage2,xgb_regressor
num__tracked_lag_24,42429.19140625,1,stage2,xgb_regressor
num__out_roll_sum_6,23295.599609375,1,stage2,xgb_regressor
num__out_roll_mean_6,22288.40625,1,stage2,xgb_regressor
num__out_nonzero_rate_6,18750.404296875,1,stage2,xgb_regressor
num__out_curr,14921.9658203125,1,stage2,xgb_regressor
cat__location_26139,12260.13671875,1,stage2,xgb_regressor
num__origin_dow_cos,11523.01171875,1,stage2,xgb_regressor
num__mcc_curr,11388.583984375,1,stage2,xgb_regressor
num__tracked_roll_max_6,11134.2763671875,1,stage2,xgb_regressor
num__mcc_roll_mean_6,11057.8017578125,1,stage2,xgb_regressor
num__d2m_lag_24,10934.7333984375,1,stage2,xgb_regressor
num__pwat_lag_24,10388.70703125,1,stage2,xgb_regressor
cat__location_26097,9402.2705078125,1,stage2,xgb_regressor
num__mcc_lag_24,8360.328125,1,stage2,xgb_regressor
num__sh2_roll_mean_6,8253.12890625,1,stage2,xgb_regressor
num__sh2_curr,7982.12939453125,1,stage2,xgb_regressor
