feature,signal
num__tracked_curr,3376.27685546875
cat__location_26039,3200.581298828125
num__tracked_lag_48,1859.278564453125
num__tracked_lag_24,1277.778564453125
num__out_roll_max_6,821.8124389648438
cat__location_26003,776.8822631835938
num__out_curr,612.822998046875
cat__location_26085,589.5783081054688
num__tracked_roll_mean_6,582.1235961914062
num__tracked_roll_sum_6,495.8849182128906
cat__location_26161,461.08740234375
cat__location_26081,447.9671325683594
num__out_roll_sum_6,436.9412841796875
cat__location_26121,387.26953125
cat__location_26129,380.0913391113281
cat__location_26037,352.4714660644531
cat__location_26111,344.4912109375
cat__location_26065,329.01373291015625
cat__location_26057,320.5906677246094
cat__location_26059,319.6967468261719
