feature,signal,fold_id,model_role,model_name
num__tracked_curr,6273.3388671875,1,stage2,xgb_regressor
cat__location_26039,4032.9765625,1,stage2,xgb_regressor
num__tracked_lag_48,3253.324951171875,1,stage2,xgb_regressor
num__tracked_lag_24,3024.962158203125,1,stage2,xgb_regressor
num__tracked_roll_sum_6,2520.169921875,1,stage2,xgb_regressor
num__out_roll_max_6,1484.3255615234375,1,stage2,xgb_regressor
num__out_roll_sum_6,1419.6903076171875,1,stage2,xgb_regressor
cat__location_26109,1351.845703125,1,stage2,xgb_regressor
num__out_curr,1197.6365966796875,1,stage2,xgb_regressor
num__tracked_roll_mean_6,1180.34814453125,1,stage2,xgb_regressor
cat__location_26085,1115.0885009765625,1,stage2,xgb_regressor
num__origin_dow_cos,1065.23095703125,1,stage2,xgb_regressor
cat__location_26129,1032.5379638671875,1,stage2,xgb_regressor
cat__location_26161,881.7086791992188,1,stage2,xgb_regressor
cat__location_26003,776.8822631835938,1,stage2,xgb_regressor
num__sdlwrf_lag_24,740.7042846679688,1,stage2,xgb_regressor
num__mslma_roll_mean_6,739.4474487304688,1,stage2,xgb_regressor
cat__location_26057,698.7664794921875,1,stage2,xgb_regressor
cat__location_26113,679.6392822265625,1,stage2,xgb_regressor
cat__location_26121,654.6071166992188,1,stage2,xgb_regressor
