feature,signal,fold_id,model_role,model_name
cat__location_26039,4.900427938367913,1,stage2,elasticnet_regression
cat__location_26085,2.1597484960509084,1,stage2,elasticnet_regression
cat__location_26097,1.463076805644293,1,stage2,elasticnet_regression
cat__location_26047,1.0701586325844328,1,stage2,elasticnet_regression
cat__location_26041,1.0277766326810347,1,stage2,elasticnet_regression
cat__location_26011,0.9615252432900339,1,stage2,elasticnet_regression
cat__location_26109,0.9584493704390674,1,stage2,elasticnet_regression
cat__location_26003,0.9152378907406973,1,stage2,elasticnet_regression
cat__location_26107,0.8661999231033866,1,stage2,elasticnet_regression
cat__location_26113,0.8649599644233212,1,stage2,elasticnet_regression
cat__location_26027,0.8324324789266953,1,stage2,elasticnet_regression
cat__location_26035,0.8312019897111057,1,stage2,elasticnet_regression
cat__location_26103,0.8243044951515337,1,stage2,elasticnet_regression
cat__location_26019,0.786577624401878,1,stage2,elasticnet_regression
cat__location_26079,0.7826087427075581,1,stage2,elasticnet_regression
cat__location_26157,0.7611270011722374,1,stage2,elasticnet_regression
cat__location_26147,0.7474224124905778,1,stage2,elasticnet_regression
cat__location_26151,0.7335464340676949,1,stage2,elasticnet_regression
cat__location_26063,0.7327340073584777,1,stage2,elasticnet_regression
cat__location_26005,0.6522427134745009,1,stage2,elasticnet_regression
