feature,signal,fold_id,model_role,model_name
num__tracked_lag_24,13933.6640625,1,stage2,xgb_regressor
cat__location_26039,6008.5712890625,1,stage2,xgb_regressor
num__tracked_lag_48,4423.66357421875,1,stage2,xgb_regressor
num__tracked_curr,3701.71044921875,1,stage2,xgb_regressor
cat__location_26059,2630.6005859375,1,stage2,xgb_regressor
cat__location_26161,1778.2001953125,1,stage2,xgb_regressor
cat__location_26139,1437.95849609375,1,stage2,xgb_regressor
cat__location_26129,1413.1563720703125,1,stage2,xgb_regressor
num__out_roll_max_6,1382.700927734375,1,stage2,xgb_regressor
num__tracked_roll_max_6,1376.0445556640625,1,stage2,xgb_regressor
cat__location_26085,1369.9388427734375,1,stage2,xgb_regressor
num__sdlwrf_roll_mean_6,1349.6475830078125,1,stage2,xgb_regressor
num__out_curr,1305.49169921875,1,stage2,xgb_regressor
cat__location_26121,1243.7259521484375,1,stage2,xgb_regressor
cat__location_26103,1190.8065185546875,1,stage2,xgb_regressor
cat__location_26069,1178.896240234375,1,stage2,xgb_regressor
cat__location_26027,1014.6827392578125,1,stage2,xgb_regressor
num__mslma_curr,974.5839233398438,1,stage2,xgb_regressor
cat__location_26041,938.8400268554688,1,stage2,xgb_regressor
num__tracked_roll_mean_6,935.4841918945312,1,stage2,xgb_regressor
