feature,signal
num__out_curr,3329.8515625
num__out_lag_1,1943.541748046875
num__out_lag_24,1718.971923828125
num__veg,532.92529296875
num__lai,439.3253479003906
num__target_dow,309.05718994140625
num__target_hour_sin,292.2657470703125
num__target_dow_cos,286.96929931640625
num__target_dow_sin,283.793212890625
num__origin_dow_cos,254.46542358398438
num__v,245.59718322753906
num__origin_dow_sin,243.7304229736328
num__unknown_2,240.2313995361328
num__target_hour_cos,238.0252227783203
num__target_hour,226.06121826171875
num__vstm,225.2220458984375
num__mdens,187.3330078125
num__ustm,179.59573364257812
num__horizon_step,172.16468811035156
num__origin_hour_sin,153.05950927734375
