feature,signal,fold_id,model_role,model_name
num__out_curr,0.4156994936425015,1,stage2,elasticnet_regression
num__out_lag_24,0.2543932413277577,1,stage2,elasticnet_regression
num__veg,0.20938358050159123,1,stage2,elasticnet_regression
num__unknown_2,0.167587853346826,1,stage2,elasticnet_regression
num__origin_dow_sin,0.08208791914507363,1,stage2,elasticnet_regression
num__out_lag_1,0.08005968202206162,1,stage2,elasticnet_regression
num__vvcsh,0.07296335055932698,1,stage2,elasticnet_regression
num__vstm,0.06890039670040624,1,stage2,elasticnet_regression
num__target_hour_sin,0.06499897886630523,1,stage2,elasticnet_regression
num__target_dow_sin,0.05396526088453332,1,stage2,elasticnet_regression
num__ustm,0.053772709993006,1,stage2,elasticnet_regression
num__target_dow,0.04802870132578965,1,stage2,elasticnet_regression
num__target_hour_cos,0.0454796220392473,1,stage2,elasticnet_regression
num__target_dow_cos,0.04521189988896807,1,stage2,elasticnet_regression
num__lai,0.043552612789696014,1,stage2,elasticnet_regression
num__v,0.030619878120672673,1,stage2,elasticnet_regression
num__vucsh,0.017941470330745838,1,stage2,elasticnet_regression
num__origin_hour_sin,0.017619619814844282,1,stage2,elasticnet_regression
num__origin_hour_cos,0.013500414391216775,1,stage2,elasticnet_regression
num__target_hour,0.010036383468260851,1,stage2,elasticnet_regression
