feature,signal,fold_id,model_role,model_name
num__lai,0.685580584326043,1,stage1,logistic_enet
num__out_lag_24,0.41682896830406446,1,stage1,logistic_enet
num__veg,0.4164914825291784,1,stage1,logistic_enet
num__out_curr,0.4121909563202789,1,stage1,logistic_enet
num__target_hour_sin,0.3310102931440078,1,stage1,logistic_enet
num__out_lag_1,0.27873736629928675,1,stage1,logistic_enet
num__mdens,0.23606093855930513,1,stage1,logistic_enet
num__target_dow_cos,0.10804623426635086,1,stage1,logistic_enet
num__origin_dow_sin,0.09522564252287227,1,stage1,logistic_enet
num__vucsh,0.09269014269801529,1,stage1,logistic_enet
num__target_hour,0.06629285174189528,1,stage1,logistic_enet
num__origin_dow_cos,0.06370974226766146,1,stage1,logistic_enet
num__vstm,0.06278972928181861,1,stage1,logistic_enet
num__unknown_2,0.061748849393642696,1,stage1,logistic_enet
num__target_dow,0.03671989009281435,1,stage1,logistic_enet
num__v,0.035795895835702196,1,stage1,logistic_enet
num__target_dow_sin,0.03226524873422696,1,stage1,logistic_enet
num__ustm,0.02552294599641402,1,stage1,logistic_enet
num__vvcsh,0.024680973154285052,1,stage1,logistic_enet
num__target_hour_cos,0.023510192907572874,1,stage1,logistic_enet
