feature,signal,fold_id,model_role,model_name
num__out_curr,10325.619140625,1,stage1,xgb_classifier
num__out_lag_1,5540.1845703125,1,stage1,xgb_classifier
num__out_lag_24,2967.157958984375,1,stage1,xgb_classifier
num__lai,981.3754272460938,1,stage1,xgb_classifier
num__target_hour_sin,800.0565795898438,1,stage1,xgb_classifier
num__veg,673.28662109375,1,stage1,xgb_classifier
num__target_hour,629.9789428710938,1,stage1,xgb_classifier
num__forecast_day_offset,424.47137451171875,1,stage1,xgb_classifier
num__horizon_step,359.017578125,1,stage1,xgb_classifier
num__origin_hour_sin,354.6089172363281,1,stage1,xgb_classifier
num__unknown_2,324.8428039550781,1,stage1,xgb_classifier
num__mdens,316.903564453125,1,stage1,xgb_classifier
num__vstm,313.3048095703125,1,stage1,xgb_classifier
num__target_dow,301.7809753417969,1,stage1,xgb_classifier
num__target_hour_cos,246.45079040527344,1,stage1,xgb_classifier
num__v,242.01014709472656,1,stage1,xgb_classifier
num__target_dow_sin,237.52598571777344,1,stage1,xgb_classifier
num__origin_dow_sin,227.24221801757812,1,stage1,xgb_classifier
num__origin_dow_cos,224.89254760742188,1,stage1,xgb_classifier
num__vucsh,210.25570678710938,1,stage1,xgb_classifier
