feature,signal,fold_id,model_role,model_name
num__out_curr,5853.39892578125,1,stage2,xgb_regressor
num__out_lag_1,3934.51953125,1,stage2,xgb_regressor
num__out_lag_24,3041.641357421875,1,stage2,xgb_regressor
num__veg,1008.9186401367188,1,stage2,xgb_regressor
num__lai,779.5556640625,1,stage2,xgb_regressor
num__origin_dow_cos,526.3925170898438,1,stage2,xgb_regressor
num__ustm,455.27557373046875,1,stage2,xgb_regressor
num__v,450.5107421875,1,stage2,xgb_regressor
num__target_dow,442.3567199707031,1,stage2,xgb_regressor
num__vstm,434.69635009765625,1,stage2,xgb_regressor
num__unknown_2,428.3429260253906,1,stage2,xgb_regressor
num__target_hour_sin,414.77978515625,1,stage2,xgb_regressor
num__target_dow_sin,411.411376953125,1,stage2,xgb_regressor
num__horizon_step,397.9462585449219,1,stage2,xgb_regressor
num__target_dow_cos,386.5284423828125,1,stage2,xgb_regressor
num__origin_dow_sin,385.4485168457031,1,stage2,xgb_regressor
num__target_hour_cos,367.16900634765625,1,stage2,xgb_regressor
num__mdens,345.0693054199219,1,stage2,xgb_regressor
num__target_hour,318.5461120605469,1,stage2,xgb_regressor
num__origin_hour_sin,283.9432373046875,1,stage2,xgb_regressor
