feature,abs_corr_with_outage,signed_corr_with_outage
vstm,0.0539374691520749,-0.0539374691520749
unknown_2,0.05227802065352593,0.05227802065352593
veg,0.05224884340819071,0.05224884340819071
vvcsh,0.04878884635365671,-0.04878884635365671
unknown,0.04393803270121696,0.04393803270121696
v,0.04221418799794428,-0.04221418799794428
ustm,0.041538258947734864,-0.041538258947734864
mdens,0.04079613953697428,0.04079613953697428
vucsh,0.03646433382348256,-0.03646433382348256
lai,0.0349999809789694,0.0349999809789694
