feature,signal
num__lai,0.6859252871431724
num__out_lag_24,0.4174057061533726
num__veg,0.4163730682512696
num__out_curr,0.41362903971653525
num__target_hour_sin,0.33099173257608705
num__out_lag_1,0.28108126726694044
num__mdens,0.2357654313078509
num__target_dow_cos,0.10712421320364042
num__origin_dow_sin,0.09650492307291215
num__vucsh,0.0944924765949394
num__target_hour,0.06603561453131854
num__vstm,0.06276129096967667
num__unknown_2,0.061862105448207916
num__origin_dow_cos,0.05920793724899745
num__target_dow,0.03894697935063192
num__v,0.03618895761084294
num__target_dow_sin,0.03332554508080333
num__ustm,0.023831718145556825
num__vvcsh,0.023717414577030412
num__target_hour_cos,0.023533434636536482
