feature,signal,fold_id,model_role,model_name
num__out_curr,3019.9912109375,1,stage2,xgb_regressor
num__out_lag_1,2491.466064453125,1,stage2,xgb_regressor
num__out_lag_24,1424.113037109375,1,stage2,xgb_regressor
num__veg,427.9988098144531,1,stage2,xgb_regressor
num__origin_dow_sin,412.3203430175781,1,stage2,xgb_regressor
num__lai,391.2966003417969,1,stage2,xgb_regressor
num__target_dow,308.56744384765625,1,stage2,xgb_regressor
num__unknown_2,301.57818603515625,1,stage2,xgb_regressor
num__vstm,290.8692321777344,1,stage2,xgb_regressor
num__origin_dow_cos,271.9955139160156,1,stage2,xgb_regressor
num__ustm,260.39691162109375,1,stage2,xgb_regressor
num__target_hour_sin,256.861572265625,1,stage2,xgb_regressor
num__target_dow_sin,250.9705352783203,1,stage2,xgb_regressor
num__mdens,228.44923400878906,1,stage2,xgb_regressor
num__target_dow_cos,216.62623596191406,1,stage2,xgb_regressor
num__horizon_step,215.2158203125,1,stage2,xgb_regressor
num__target_hour_cos,200.27645874023438,1,stage2,xgb_regressor
num__v,197.70932006835938,1,stage2,xgb_regressor
num__origin_hour_sin,185.7388153076172,1,stage2,xgb_regressor
num__unknown,161.44454956054688,1,stage2,xgb_regressor
