feature,signal,fold_id,model_role,model_name
num__out_curr,0.29006786542323715,1,stage2,elasticnet_regression
num__out_lag_24,0.2433818701301379,1,stage2,elasticnet_regression
num__veg,0.20784344122162327,1,stage2,elasticnet_regression
num__out_lag_1,0.14652378634440127,1,stage2,elasticnet_regression
num__unknown_2,0.12912463453635947,1,stage2,elasticnet_regression
num__target_dow,0.08931504447110336,1,stage2,elasticnet_regression
num__target_hour_sin,0.07079036133277866,1,stage2,elasticnet_regression
num__vvcsh,0.06405828713081031,1,stage2,elasticnet_regression
num__ustm,0.05855406513814236,1,stage2,elasticnet_regression
num__v,0.057742586423300116,1,stage2,elasticnet_regression
num__origin_dow_sin,0.056461220908420456,1,stage2,elasticnet_regression
num__target_dow_sin,0.0554153410744719,1,stage2,elasticnet_regression
num__target_dow_cos,0.04694688154965721,1,stage2,elasticnet_regression
num__target_hour_cos,0.04570973488491406,1,stage2,elasticnet_regression
num__lai,0.039181260406467064,1,stage2,elasticnet_regression
num__vstm,0.0279145448628877,1,stage2,elasticnet_regression
num__horizon_step,0.024683094795531678,1,stage2,elasticnet_regression
num__origin_hour_sin,0.015781173698452222,1,stage2,elasticnet_regression
num__vucsh,0.015476522923942365,1,stage2,elasticnet_regression
num__forecast_day_offset,0.01472363735467842,1,stage2,elasticnet_regression
