feature,signal,fold_id,model_role,model_name
num__out_curr,5921.01318359375,1,stage2,xgb_regressor
num__out_lag_1,4306.599609375,1,stage2,xgb_regressor
num__out_lag_24,3532.0537109375,1,stage2,xgb_regressor
num__veg,1092.5794677734375,1,stage2,xgb_regressor
num__lai,923.8765869140625,1,stage2,xgb_regressor
num__ustm,610.5033569335938,1,stage2,xgb_regressor
num__unknown_2,579.65380859375,1,stage2,xgb_regressor
num__target_dow,517.1676025390625,1,stage2,xgb_regressor
num__target_hour_cos,500.2636413574219,1,stage2,xgb_regressor
num__target_dow_sin,490.5239562988281,1,stage2,xgb_regressor
num__target_hour_sin,469.37139892578125,1,stage2,xgb_regressor
num__origin_dow_cos,443.46600341796875,1,stage2,xgb_regressor
num__v,442.801513671875,1,stage2,xgb_regressor
num__horizon_step,435.5264892578125,1,stage2,xgb_regressor
num__mdens,413.8694763183594,1,stage2,xgb_regressor
num__target_dow_cos,398.0730285644531,1,stage2,xgb_regressor
num__target_hour,397.7979736328125,1,stage2,xgb_regressor
num__origin_dow_sin,378.48358154296875,1,stage2,xgb_regressor
num__origin_hour_sin,338.1916809082031,1,stage2,xgb_regressor
num__vstm,337.8019714355469,1,stage2,xgb_regressor
