feature,signal,fold_id,model_role,model_name
num__out_curr,12211.615234375,1,stage1,xgb_classifier
num__out_lag_1,5896.42138671875,1,stage1,xgb_classifier
num__out_lag_24,3380.86767578125,1,stage1,xgb_classifier
num__lai,1184.591552734375,1,stage1,xgb_classifier
num__target_hour_sin,947.3572998046875,1,stage1,xgb_classifier
num__veg,706.5110473632812,1,stage1,xgb_classifier
num__target_hour,590.6405639648438,1,stage1,xgb_classifier
num__horizon_step,391.0713195800781,1,stage1,xgb_classifier
num__vstm,378.7343444824219,1,stage1,xgb_classifier
num__forecast_day_offset,374.06298828125,1,stage1,xgb_classifier
num__unknown_2,342.5849914550781,1,stage1,xgb_classifier
num__origin_hour_sin,338.2837219238281,1,stage1,xgb_classifier
num__target_dow,325.0259704589844,1,stage1,xgb_classifier
num__mdens,321.57305908203125,1,stage1,xgb_classifier
num__target_dow_sin,289.5816345214844,1,stage1,xgb_classifier
num__v,275.20635986328125,1,stage1,xgb_classifier
num__vucsh,218.44435119628906,1,stage1,xgb_classifier
num__vvcsh,211.8700714111328,1,stage1,xgb_classifier
num__ustm,207.04464721679688,1,stage1,xgb_classifier
num__origin_dow_sin,202.90509033203125,1,stage1,xgb_classifier
